221,"['-64', '-34']"
222,"['16.56953556', '59.60588944']"
223,"['84.9151306', '26.6516991']"
224,"['3.9167', '7.3964']"
225,"['84.9151306', '26.6516991']"
226,"['172.64557743', '-43.54035917']"
227,"['73.8567', '18.5203']"
228,"['0.4693', '51.7359']"
229,"['4.8089166', '52.48034239']"
230,"['49.59154649', '53.51627774']"
231,"['3.9167', '7.3964']"
232,"['-2.58333', '51.45']"
233,"['11.1', '43.8833']"
234,"['72.8419507', '19.0464643']"
235,"['3.9167', '7.3964']"
236,"['3.9167', '7.3964']"
237,"['3.39583', '6.45306']"
238,"['4.84969', '52.50772']"
239,"['3.9167', '7.3964']"
240,"['55.2741', '25.1994']"
241,"['12.64418', '41.74178']"
242,"['-73.56726563', '45.63697547']"
243,"['-118.2445', '34.0564']"
244,"['-0.21342409', '51.29511849']"
245,"['150.78706', '-34.20191']"
246,"['-73.56725453', '45.75975883']"
247,"['16.3731', '48.2083']"
248,"['3.9167', '7.3964']"
249,"['3.9167', '7.3964']"
250,"['0.4693', '51.7359']"
251,"['-121.5705372', '37.00748787']"
252,"['-0.1094', '51.5141']"
253,"['3.39583', '6.45306']"
254,"['144.9661', '-37.8156']"
255,"['3.9167', '7.3964']"
256,"['34.15', '0.43333333']"
257,"['28.1869', '-25.7533']"
258,"['-77.4371', '37.5373']"
259,"['3.08829346', '6.66109353']"
260,"['-73.47935661', '45.6677507']"
261,"['3.9167', '7.3964']"
262,"['-2.37082691', '53.56086232']"
263,"['-0.77619451', '53.39361029']"
264,"['72.83', '21.17']"
265,"['101.6928451', '3.0707418']"
266,"['-1.8987', '52.4806']"
267,"['-115.18349', '36.08803']"
268,"['3.9167', '7.3964']"
269,"['118.76811385', '32.05335255']"
270,"['103.7123', '1.3513']"
271,"['-96.7977', '32.7774']"
272,"['-0.1094', '51.5141']"
273,"['151.20797', '-33.86751']"
274,"['7.4833', '9.0667']"
275,"['3.9167', '7.3964']"
276,"['3.9167', '7.3964']"
277,"['3.9167', '7.3964']"
278,"['3.9167', '7.3964']"
279,"['3.9167', '7.3964']"
280,"['3.39583', '6.45306']"
281,"['-0.13608912', '51.50413561']"
282,"['-2.22788', '53.32679']"
283,"['5.26970307', '51.22695861']"
284,"['60.6779', '56.84013']"
285,"['-74.1849', '40.7352']"
286,"['3.9167', '7.3964']"
287,"['3.9167', '7.3964']"
288,"['-6.2591', '53.3476']"
289,"['-0.0972655', '51.525004']"
290,"['7.4833', '9.0667']"
291,"['-77.50268722', '38.23106626']"
292,"['-81.29738163', '28.65283203']"
293,"['-73.56725453', '45.75975883']"
294,"['0.11732971', '52.20449637']"
295,"['-74.0064', '40.7142']"
296,"['-0.4305789', '51.57275627']"
297,"['-74.0007613', '40.7207559']"
298,"['-0.15298284', '51.56119957']"
299,"['7.4833', '9.0667']"
300,"['-73.8516994', '42.6145104']"
301,"['-0.1094', '51.5141']"
302,"['-73.56725453', '45.75975883']"
303,"['7.0642', '4.8164']"
304,"['14.48831076', '35.90114914']"
305,"['3.39256333', '6.52982165']"
306,"['13.1605', '-8.9394']"
307,"['-87.6461792', '41.90023277']"
308,"['-77.35160753', '38.8650759']"
