,word,positive,negative
934,prove,8,5
935,we're,0,0
936,celebrities,12,3
937,blood,8,0
938,kind,6,4
939,continue,13,5
940,relief,10,2
941,college,4,1
942,kills,12,4
943,company,11,4
944,challenge,11,2
945,economic,11,6
946,"ji",0,0
947,businesses,8,3
948,mr,9,3
949,girl,8,3
950,join,6,3
951,hell,6,5
952,fine,7,3
953,idiots,5,3
954,boris,11,6
955,extremely,10,7
956,weather,8,6
957,understand,8,3
958,play,13,2
959,prayers,10,2
960,isn't,0,0
961,walking,5,2
962,@aynrandpaulryan:,7,5
963,fire,5,3
964,nazi,6,5
965,uk,10,3
966,others,9,3
967,decide,10,3
968,nigerians,8,1
969,despite,7,3
970,bored,15,2
971,latest,10,7
972,decompensated,7,4
973,pick,8,1
974,@shehzad_ind:,10,3
975,whitehousebr,7,4
976,casualty,12,3
977,shoulder,8,3
978,safety,10,1
979,honestly,8,3
980,population,6,2
981,na,10,4
982,cough,12,5
983,elizabeth,6,5
984,bre,10,3
985,deal,8,3
986,dynasty,10,3
987,link,9,4
988,relations,10,3
989,yo,7,5
990,e,11,5
991,france,7,2
992,effective,5,7
993,daily,6,4
994,ones,8,3
995,criminal,12,3
996,@petersweden7:,5,3
997,here's,0,0
998,videos,5,1
999,till,8,7
1000,entire,4,4
1001,nobody,12,1
1002,revolted,10,3
1003,jesus,8,1
1004,scared,11,3
1005,indians,9,2
1006,high,7,4
1007,nice,4,5
1008,analysis,6,2
1009,february,11,5
1010,less,13,4
1011,friend,5,1
1012,power,12,1
1013,paedophile,6,5
1014,didn't,0,0
1015,history,8,2
1016,law,7,5
1017,trumps,10,5
1018,article,3,1
1019,100%,5,2
1020,classic,6,6
1021,families,10,2
1022,breaking,7,2
1023,asking,8,1
1024,glad,10,2
1025,indian,7,0
1026,current,12,4
1027,bernie,7,3
1028,dirty,9,4
1029,within,10,3
1030,sign,9,4
1031,national,8,1
1032,patient,15,3
1033,line,3,3
1034,johnson,12,3
1035,cdc,17,5
1036,@tife_fabunmi:,9,3
1037,intentionally,11,2
1038,pub,10,3
1039,90%,10,5
1040,mid,12,5
1041,firing,9,2
1042,indias,7,3
1043,@eriksolheim:,11,5
1044,defeat,3,4
1045,near,5,3
1046,cancel,7,2
1047,80,9,5
1048,diane,11,2
1049,i'll,0,0
1050,rid,9,3
1051,danger,4,4
1052,though,10,3
1053,bbc,12,2
1054,following,9,2
1055,negative,5,3
1056,cold,5,1
1057,fun,5,6
1058,children,7,5
1059,head,6,3
1060,answer,6,4
1061,speaks,12,4
1062,happened,4,3
1063,felt,10,4
1064,become,10,4
1065,second,13,4
1066,sitting,8,2
1067,"them:",0,0
1068,facing,6,1
1069,issue,11,6
1070,@youtube,7,4
1071,joke,7,5
1072,especially,7,4
1073,wearing,3,1
1074,drink,9,2
1075,community,7,4
1076,mitigation,4,5
1077,@edanyago:,6,2
1078,@miekeeoyang:,9,2
1079,hot,11,1
1080,further,10,6
1081,professi,9,2
1082,spur,9,2
1083,proud,7,5
1084,6,6,4
1085,theyre,9,3
1086,elections,9,2
1087,stopped,8,1
1088,@tananarivedue:,5,4
1089,malaria,4,6
1090,sad,5,2
1091,cuz,5,4
1092,local,4,3
1093,abbott,12,2
1094,filming,12,2
1095,leaders,5,5
1096,coro,1,3
1097,knew,10,5
1098,ya,6,3
1099,frontlin,4,5
1100,pass,4,3
1101,works,6,4
1102,@clairecmc:,4,5
1103,age,9,2
1104,holby,12,2
1105,doze,8,3
1106,@katiephang:,8,0
1107,gotta,6,3
1108,tik,11,3
1109,vile,9,0
1110,tfw,10,3
1111,knows,9,3
1112,thousands,7,2
1113,handling,7,3
1114,everyones,6,10
1115,ji,18,6
1116,antibiotics,11,5
1117,8,6,6
1118,music,10,3
1119,jantacurfew,11,5
1120,intend,7,1
1121,@maryamnsharif:,9,1
1122,aggressive,12,5
1123,netanyahu,10,3
1124,amazing,10,3
1125,@d_psycho_guru:,7,1
1126,@realsaavedra:,3,3
1127,locked,7,6
1128,consider,2,5
1129,measures,7,2
1130,@atrupar:,10,3
1131,plans,11,1
1132,side,12,2
1133,nigerian,9,2
1134,available,6,3
1135,tok,11,3
1136,prevent,9,6
1137,corrupt,7,3
1138,@umarkamani,6,6
1139,formal,14,5
1140,substituted,8,3
1141,dawg,5,4
1142,market,9,1
1143,allowed,10,3
1144,|,7,2
1145,'chinese:',0,0
1146,absolutely,8,2
1147,set,8,6
1148,@no_silenced:,4,4
1149,game,4,3
1150,announce,5,3
1151,dick,4,4
1152,jobs,6,2
1153,exactly,5,2
1154,thinks,9,3
1155,fever,5,3
1156,@complex:,7,3
1157,whether,10,4
1158,healthy,6,6
1159,birthday,8,2
1160,co/eyidd6xbas,8,3
1161,normal,8,2
1162,seeing,5,3
1163,paid,7,5
1164,40%,9,1
1165,learn,8,0
1166,co/eixynh6xsa,8,3
1167,tha,6,1
1168,minister,11,3
1169,afford,8,4
1170,nigga,6,2
1171,future,11,2
1172,impeaching,3,4
1173,economy,5,3
1174,2020:,6,1
1175,rest,6,2
1176,9pm,7,3
1177,citizens,7,2
1178,rather,6,4
1179,spain,8,3
1180,million,6,2
1181,chat,5,1
1182,speechwriters,4,2
1183,22nd,8,1
1184,y'all,0,0
1185,strengthen,5,3
1186,appeal,9,1
1187,losing,5,0
1188,reported,10,1
1189,australia,8,3
1190,"november",0,0
1191,cooked,10,2
1192,total,8,2
1193,strike,3,1
1194,run,10,2
1195,large,7,5
1196,looked,6,3
1197,kits,11,4
1198,co/dsklcbu5nx,4,2
1199,9,12,2
1200,travel,4,2
1201,question,6,1
1202,donald,5,3
1203,feb,7,1
1204,numbers,3,3
1205,humanity,3,5
1206,student,5,1
1207,@ageniesayswhat:,12,1
1208,@fenwaystrat:,4,2
1209,creative,4,4
1210,nations,7,4
1211,@caucasianjames:,6,6
1212,co/0lxqtvz5ts,8,2
1213,hospitals,4,1
1214,research,7,4
1215,votes,5,1
1216,alone,9,2
1217,@nmwdesign:,9,2
1218,me:,4,1
1219,rights,3,4
1220,common,4,3
1221,sprout,8,2
1222,caused,6,3
1223,soil,8,2
1224,vigilan,10,5
1225,pretext,7,2
1226,drug,7,4
1227,strong,2,2
1228,powers,9,3
1229,15000,10,5
1230,washing,7,1
1231,co/mf8pwvi1bx,6,2
1232,handle,10,4
1233,killed,4,3
1234,officially,2,2
1235,351k,8,2
1236,centre,3,4
1237,tips,7,2
1238,potus,11,6
1239,ends,3,5
1240,wonder,7,3
1241,recent,4,1
1242,font,11,7
1243,cannot,5,4
1244,gon,6,2
1245,five,7,0
1246,harry,7,3
1247,rate,9,2
1248,@_hublette:,1,5
1249,@jmclaughlinsais:,8,5
1250,questions,7,0
1251,couple,2,3
1252,responsibility,8,4
1253,bless,7,0
1254,happen,10,5
1255,achieve,2,6
1256,worry,6,1
1257,living,7,5
1258,flight,6,1
1259,result,5,1
1260,li,7,3
1261,pubs,6,0
1262,happening,6,1
1263,whatsapp,5,1
1264,fellow,6,2
1265,stands,5,0
1266,higher,10,1
1267,tf,7,3
1268,water,11,6
1269,move,6,2
1270,battle,4,1
1271,released,3,7
1272,women,8,5
1273,viruses,8,1
1274,clear,6,2
1275,anxiety,4,3
1276,totally,6,1
1277,freaking,5,1
1278,+,3,0
1279,virus:,6,3
1280,@potus,10,5
1281,remarks,8,1
1282,sleep,8,2
1283,huge,8,4
1284,keeping,5,2
1285,@harari_yuval:,7,2
1286,coughing,7,0
1287,turkish,3,2
1288,agree,6,2
1289,course,2,4
1290,pretty,6,5
1291,past,9,4
1292,retweet,10,1
1293,request,4,5
1294,survive,5,4
1295,100,4,2
1296,"dictatorship",0,0
1297,paper,4,3
1298,recovery,7,1
1299,themselves,7,3
1300,data,3,0
1301,chance,4,3
1302,referred,5,3
1303,script,7,1
1304,anymore,10,4
1305,texas,7,1
1306,half,5,2
1307,kushner,3,0
1308,impeachment,12,3
1309,period,9,1
1310,experience,4,1
1311,besides,6,1
1312,styles,7,3
1313,story,2,1
1314,behavior,8,2
1315,amazon,3,4
1316,@baldboyblues:,7,3
1317,club,6,2
1318,voted,8,3
1319,co/qgnyfejxkk,6,1
1320,air,4,4
1321,police,6,1
1322,rubbish,6,2
1323,co/ujcgptfmpc,5,4
1324,tip,4,3
1325,unfortunately,10,1
1326,basketball,6,0
1327,calls,4,2
1328,coronavirusoutbreak,9,2
1329,across,5,4
1330,schools,9,7
1331,extensive,8,3
1332,quarantined,8,5
1333,issues,7,2
1334,*,1,0
1335,f,4,4
1336,holidays,5,6
1337,eyes,8,3
1338,continues,5,6
1339,@bryanbehar:,5,2
1340,earth,5,3
1341,gives,6,2
1342,fre,7,2
1343,boys,5,0
1344,deadly,9,6
1345,science,6,2
1346,mad,4,1
1347,saudi,2,4
1348,dude,5,4
1349,usa,10,2
1350,@mstewart_23:,8,3
1351,mum,4,6
1352,masks,2,2
1353,add,11,1
1354,(r-ok),3,1
1355,however,7,4
1356,currently,10,3
1357,woke,12,1
1358,sound,7,1
1359,county,9,1
1360,date,3,1
1361,action,7,3
1362,contact,8,0
1363,p,5,3
1364,along,7,0
1365,fell,8,5
1366,bills,6,2
1367,@dillonfrancis:,7,2
1368,m,7,2
1369,101,4,2
1370,group,13,2
1371,sense,4,4
1372,@speakerpelosi,11,3
1373,step,12,1
1374,apply,4,2
1375,hoax,9,1
1376,beautiful,3,3
1377,elegant,1,5
1378,garden,4,7
1379,conferences,4,2
1380,israel,2,0
1381,humans,2,2
1382,speaking,4,3
1383,office,5,2
1384,closing,5,2
1385,wake,6,1
1386,phone,7,1
1387,don,4,3
1388,sale,9,0
1389,sports,4,1
1390,triggery,1,5
1391,size,10,2
1392,tal,6,2
1393,trollin,1,5
1394,@theheadking__:,6,2
1395,himself,9,3
1396,responsible,6,2
1397,v,4,1
1398,three,3,4
1399,bout,6,1
1400,focus,8,1
1401,etc,5,4
1402,italian,2,2
1403,skills,8,3
1404,busy,3,2
1405,edition,6,5
1406,what's,0,0
1407,coronavirus:,3,3
