,word,frequency
1332,quarantined,81.0
1333,issues,81.0
1334,*,81.0
1335,f,81.0
1336,holidays,81.0
1337,eyes,81.0
1338,continues,81.0
1339,@bryanbehar:,80.0
1340,earth,80.0
1341,gives,80.0
1342,fre,80.0
1343,boys,80.0
1344,deadly,80.0
1345,science,80.0
1346,mad,80.0
1347,saudi,80.0
1348,dude,80.0
1349,usa,80.0
1350,@mstewart_23:,80.0
1351,mum,80.0
1352,masks,80.0
1353,add,80.0
1354,(r-ok),80.0
1355,however,79.0
1356,currently,79.0
1357,woke,79.0
1358,sound,79.0
1359,county,79.0
1360,date,79.0
1361,action,79.0
1362,contact,79.0
1363,p,79.0
1364,along,79.0
1365,fell,79.0
1366,bills,78.0
1367,@dillonfrancis:,78.0
1368,m,78.0
1369,101,78.0
1370,group,78.0
1371,sense,78.0
1372,@speakerpelosi,78.0
1373,step,78.0
1374,apply,78.0
1375,hoax,78.0
1376,beautiful,78.0
1377,elegant,78.0
1378,garden,78.0
1379,conferences,78.0
1380,israel,78.0
1381,humans,78.0
1382,speaking,78.0
1383,office,78.0
1384,closing,78.0
1385,wake,77.0
1386,phone,77.0
1387,don,77.0
1388,sale,77.0
1389,sports,77.0
1390,triggery,77.0
1391,size,77.0
1392,tal,77.0
1393,trollin,77.0
1394,@theheadking__:,77.0
1395,himself,77.0
1396,responsible,77.0
1397,v,77.0
1398,three,77.0
1399,bout,77.0
1400,focus,77.0
1401,etc,76.0
1402,italian,76.0
1403,skills,76.0
1404,busy,76.0
1405,edition,76.0
1406,what's,76.0
1407,coronavirus:,76.0
1408,thei,76.0
1409,arabia,76.0
1410,y,76.0
1411,remain,76.0
1412,loan,75.0
1413,allow,75.0
